Brand,Model,Price,Availability_ID,Special_Edition_ID,Model_Name,Certified_Pre_Owned_ID
Chopard,L.U.C.  Certified Pre-Owned,13800.0,1,0,L.U.C.,1
Chopard,Happy Sport  Certified Pre-Owned,20700.0,1,0,Happy Sport,1
Zenith,Chronomaster  Certified Pre-Owned,15100.0,1,0,Chronomaster,1
Blancpain,Fifty Fathoms  Certified Pre-Owned,11400.0,1,0,Fifty Fathoms,1
Girard-Perregaux,1966  Certified Pre-Owned,8800.0,1,0,1966,1
Oris,Divers  Certified Pre-Owned,1600.0,1,0,Divers,1
Oris,Aquis  Certified Pre-Owned,2500.0,1,0,Aquis,1
Oris,Big Crown Propilot  Certified Pre-Owned,1800.0,1,0,Big Crown Propilot,1
Montblanc,Montblanc 4810  Certified Pre-Owned,2400.0,1,0,Montblanc 4810,1
Montblanc,TimeWalker  Certified Pre-Owned,3100.0,1,0,TimeWalker,1
Longines,Master  Certified Pre-Owned,5600.0,1,0,Master,1
Omega,Speedmaster  Certified Pre Owned,3400.0,1,0,Speedmaster  Certified Pre Owned,0
Cartier,Pasha  Certified Pre Owned,3500.0,1,0,Pasha  Certified Pre Owned,0
Omega,Speedmaster  Certified Pre Owned,6200.0,1,0,Speedmaster  Certified Pre Owned,0
Cartier,Panthere  Certified Pre Owned,3800.0,1,0,Panthere  Certified Pre Owned,0
Rado,True Thinline  Certified Pre-Owned,1400.0,1,0,True Thinline,1
Rado,Diamaster  Certified Pre-Owned,1400.0,1,0,Diamaster,1
Roger Dubuis,Excalibur  Certified Pre-Owned,26800.0,1,0,Excalibur,1
Zenith,Star  Certified Pre-Owned,25300.0,1,0,Star,1
Roger Dubuis,Excalibur  Certified Pre-Owned,26800.0,1,0,Excalibur,1
Zenith,Certified Pre-Owned,20600.0,1,0,,1
Roger Dubuis,Velvet  Certified Pre-Owned,31400.0,1,0,Velvet,1
Roger Dubuis,Velvet  Certified Pre-Owned,17500.0,1,0,Velvet,1
Roger Dubuis,Velvet  Certified Pre-Owned,29200.0,1,0,Velvet,1
Glashütte Original,Pano Lunartourbillon Certified Pre-Owned,69300.0,1,0,Pano Lunartourbillon,1
Glashütte Original,Senator  Certified Pre-Owned,20900.0,1,0,Senator,1
Blancpain,Villeret  Certified Pre-Owned,72700.0,1,0,Villeret,1
Baume & Mercier,Promesse  Certified Pre-Owned,1800.0,1,0,Promesse,1
Carl F. Bucherer,Patravi Traveltec II Certified Pre-Owned,7100.0,1,0,Patravi Traveltec II,1
Breitling,Avenger  Certified Pre-Owned,4000.0,1,0,Avenger,1
Omega,Speedmaster Date Certified Pre-Owned,4000.0,1,0,Speedmaster Date,1
Cartier,Tank  Certified Pre-Owned,7800.0,1,0,Tank,1
Cartier,Captive  Certified Pre-Owned,11550.0,1,0,Captive,1
Tudor,Prince  Certified Pre-Owned,6600.0,1,0,Prince,1
IWC Schaffhausen,Portugieser Regulateur Certified Pre-Owned,14500.0,1,0,Portugieser Regulateur,1
IWC Schaffhausen,Aquatimer Darwin Certified Pre-Owned,6750.0,1,0,Aquatimer Darwin,1
Glashütte Original,Senator  Certified Pre-Owned,32900.0,1,0,Senator,1
Audemars Piguet,Royal Oak  Certified Pre-Owned,33000.0,1,0,Royal Oak,1
Omega,Speedmaster Moonw. Certified Pre-Owned,10500.0,1,0,Speedmaster Moonw.,1
Audemars Piguet,Royal Oak Offshore  Certified Pre-Owned,65900.0,1,0,Royal Oak Offshore,1
Baume & Mercier,Promesse  Certified Pre-Owned,1400.0,1,0,Promesse,1
Rado,True Thinline  Certified Pre-Owned,1300.0,0,0,True Thinline,1
Piaget,Polo  Certified Pre-Owned,64500.0,1,0,Polo,1
Piaget,Polo  Certified Pre-Owned,47100.0,1,0,Polo,1
Piaget,Altiplano  Certified Pre-Owned,26000.0,1,0,Altiplano,1
Piaget,Altiplano  Certified Pre-Owned,25000.0,1,0,Altiplano,1
Roger Dubuis,Velvet  Certified Pre-Owned,28800.0,1,0,Velvet,1
Piaget,Limelight  Certified Pre-Owned,45400.0,1,0,Limelight,1
Glashütte Original,Serenade  Certified Pre-Owned,9300.0,1,0,Serenade,1
Carl F. Bucherer,Patravi  Certified Pre-Owned,5300.0,1,0,Patravi,1
Glashütte Original,Senator  Certified Pre-Owned,17100.0,1,0,Senator,1
Carl F. Bucherer,Patravi  Certified Pre-Owned,5000.0,1,0,Patravi,1
Breguet,Marine  Certified Pre-Owned,47900.0,1,0,Marine,1
Breguet,Classique  Certified Pre-Owned,33900.0,1,0,Classique,1
Breguet,Classique  Certified Pre-Owned,46700.0,1,0,Classique,1
Breguet,Reine De Naples  Certified Pre-Owned,17400.0,1,0,Reine De Naples,1
Blancpain,Villeret  Certified Pre-Owned,82400.0,1,0,Villeret,1
Blancpain,L-Evolution  Certified Pre-Owned,15800.0,1,0,L-Evolution,1
Roger Dubuis,Excalibur  Certified Pre-Owned,118900.0,1,0,Excalibur,1
Chopard,L.U.C. Perpetual Twin Certified Pre-Owned,16200.0,1,0,L.U.C. Perpetual Twin,1
Chopard,L.U.C.  Certified Pre-Owned,25200.0,0,0,L.U.C.,1
Roger Dubuis,Velvet  Certified Pre-Owned,30300.0,1,0,Velvet,1
Chopard,Happy Sport  Certified Pre-Owned,30900.0,1,0,Happy Sport,1
IWC Schaffhausen,Portofino  Certified Pre-Owned,43000.0,1,0,Portofino,1
IWC Schaffhausen,Portugieser  Certified Pre-Owned,65700.0,1,0,Portugieser,1
Breguet,Héritage  Certified Pre Owned,29700.0,1,0,Héritage  Certified Pre Owned,0
Breguet,Type XXII  Certified Pre-Owned,10500.0,1,1,Type XXII,1
IWC Schaffhausen,Ingenieur Ingenieur Certified Pre-Owned,35000.0,1,0,Ingenieur Ingenieur,1
IWC Schaffhausen,Pilot  Certified Pre-Owned,11200.0,1,0,Pilot,1
Cartier,Ballon Bleu de Cartier  Certified Pre-Owned,18000.0,1,0,Ballon Bleu de Cartier,1
