Country,Brand Name,Product Count,Average Price,Product Ratio (%)
France,SEIKO,177,614.95,7.07
France,Boss,163,242.46,6.51
France,Emporio Armani,155,318.77,6.19
France,Casio,128,235.23,5.11
France,Versace,119,1189.0,4.75
France,Omega,117,2044.51,4.67
France,G-Shock,79,272.94,3.15
France,Tissot,70,528.32,2.8
France,Cartier,56,4262.54,2.24
France,Longines,53,1146.42,2.12
Italy,Omega X Swatch,157,649.66,5.26
Italy,Swatch,139,204.57,4.66
Italy,Just Cavalli,128,227.94,4.29
Italy,Emporio Armani,103,240.8,3.45
Italy,BREIL,100,126.44,3.35
Italy,Casio,98,189.41,3.29
Italy,Sector,84,156.74,2.82
Italy,Omega,82,2403.66,2.75
Italy,SEIKO,82,416.82,2.75
Italy,Citizen,76,288.0,2.55
Japan,Omega,1175,2562.1,22.8
Japan,SEIKO,704,2081.98,13.66
Japan,Tag Heuer,409,1723.21,7.94
Japan,IWC,351,3288.88,6.81
Japan,Breitling,293,3518.68,5.68
Japan,Panerai,226,5316.3,4.38
Japan,Tudor,196,3330.46,3.8
Japan,Bvlgari,194,1881.26,3.76
Japan,Cartier,177,3734.54,3.43
Japan,Rolex,133,5650.18,2.58
Spain,Omega,59,3137.06,6.37
Spain,SEIKO,50,403.21,5.4
Spain,Cartier,33,3764.54,3.56
Spain,Longines,32,2133.43,3.46
Spain,Rolex,28,7000.66,3.02
Spain,Emporio Armani,27,209.78,2.92
Spain,Montblanc,27,2105.11,2.92
Spain,Tag Heuer,27,2508.49,2.92
Spain,Breitling,26,3930.01,2.81
Spain,Citizen,24,298.09,2.59
United Kingdom,Gucci,38,713.16,8.33
United Kingdom,Omega,29,2036.01,6.36
United Kingdom,Tag Heuer,25,1721.66,5.48
United Kingdom,Tissot,22,510.19,4.82
United Kingdom,Rolex,20,5151.82,4.39
United Kingdom,Longines,17,1501.68,3.73
United Kingdom,Emporio Armani,16,117.74,3.51
United Kingdom,Breitling,13,3583.62,2.85
United Kingdom,Cartier,13,4069.38,2.85
United Kingdom,Tudor,13,2795.25,2.85
United States,SEIKO,211,358.46,7.03
United States,Citizen,206,524.38,6.87
United States,Invicta,188,231.87,6.27
United States,Tissot,178,689.04,5.93
United States,Rolex,146,6695.09,4.87
United States,Movado,128,698.03,4.27
United States,Hamilton,117,1331.2,3.9
United States,Omega,117,3572.9,3.9
United States,Bulova,112,705.78,3.73
United States,Breitling,97,4761.31,3.23
